"DisplayName","PrimarySmtpAddress","LitigationHoldEnabled","WhenMailboxCreated","Forever Users","Medical Records Retention Policy","PII Retention Policy","Quick Delete (Discovery Hold Testing)"
"Adele Vance","AdeleV@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Alex Wilber","AlexW@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21","True","True","True","True"
"Allan Deyoung","AllanD@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:39","True","True","True",
"Brian Johnson (TAILSPIN)","BrianJ@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:41:42",,"True","True",
"Christie Cline","ChristieC@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21",,"True","True",
"Conf Room Adams","Adams@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:44",,,,
"Conf Room Baker","Baker@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:46",,,,
"Conf Room Crystal","Crystal@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:48",,,,
"Conf Room Hood","Hood@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:51",,,,
"Conf Room Rainier","Rainier@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:54",,,,
"Conf Room Stevens","Stevens@M365x87949236.OnMicrosoft.com","False","15/06/2023 10:43:56",,,,
"Debra Berger","DebraB@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21","True","True","True",
"Diego Siciliani","DiegoS@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Grady Archie","GradyA@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Irvin Sayers","IrvinS@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Isaiah Langer","IsaiahL@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:55:38",,"True","True",
"Johanna Lorenz","JohannaL@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:35","True","True","True",
"Joni Sherman","JoniS@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21","True","True","True",
"Lee Gu","LeeG@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Lidia Holloway","LidiaH@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07","True","True","True",
"Lynne Robbins","LynneR@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:07",,"True","True",
"Megan Bowen","MeganB@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:06","True","True","True",
"Miriam Graham","MiriamG@M365x87949236.OnMicrosoft.com","False","15/06/2023 03:06:08",,"True","True",
"MOD Administrator","admin@M365x87949236.onmicrosoft.com","False","15/06/2023 02:41:33","True","True","True",
"Nestor Wilke","NestorW@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:55:42",,"True","True",
"Patti Fernandez","PattiF@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21","True","True","True",
"Pradeep Gupta","PradeepG@M365x87949236.OnMicrosoft.com","False","15/06/2023 02:54:21",,"True","True",
