"Name","RetentionPoliy","HoldType","OriginalStartDate","LastStartDate","EndDate"
"AdeleV@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","18/06/2023 09:08:57","18/06/2023 09:08:57","Active"
"AdeleV@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","18/06/2023 09:08:57","18/06/2023 09:08:57","Active"
"AdeleV@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 15:29:39","24/06/2023 15:29:39","Active"
"AlexW@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 14:11:11","15/06/2023 14:11:11","Active"
"AlexW@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 14:11:11","15/06/2023 14:11:11","Active"
"AlexW@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 12:46:30","24/06/2023 12:46:30","Active"
"AlexW@M365x87949236.OnMicrosoft.com","Quick Delete (Discovery Hold Testing)","InPlaceHold","24/06/2023 12:46:30","24/06/2023 12:46:30","Active"
"AllanD@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 13:40:50","15/06/2023 13:40:50","Active"
"AllanD@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 13:40:50","15/06/2023 13:40:50","Active"
"AllanD@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 14:16:18","24/06/2023 14:16:18","Active"
"BrianJ@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 12:16:10","15/06/2023 12:16:10","Active"
"BrianJ@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 12:16:10","15/06/2023 12:16:10","Active"
"ChristieC@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 13:52:40","15/06/2023 13:52:40","Active"
"ChristieC@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 13:52:40","15/06/2023 13:52:40","Active"
"DebraB@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 14:38:45","15/06/2023 14:38:45","Active"
"DebraB@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 14:38:45","15/06/2023 14:38:45","Active"
"DebraB@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 13:59:38","24/06/2023 13:59:38","Active"
"DiegoS@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 10:35:51","15/06/2023 10:35:51","Active"
"DiegoS@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 10:35:51","15/06/2023 10:35:51","Active"
"DiegoS@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 20:33:24","24/06/2023 20:33:24","Active"
"GradyA@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 11:27:20","15/06/2023 11:27:20","Active"
"GradyA@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 11:27:20","15/06/2023 11:27:20","Active"
"GradyA@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 18:31:18","24/06/2023 18:31:18","Active"
"IrvinS@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 11:40:04","15/06/2023 11:40:04","Active"
"IrvinS@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 11:40:04","15/06/2023 11:40:04","Active"
"IrvinS@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 15:38:14","24/06/2023 15:38:14","Active"
"IsaiahL@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","16/06/2023 06:00:22","16/06/2023 06:00:22","Active"
"IsaiahL@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","16/06/2023 06:00:22","16/06/2023 06:00:22","Active"
"JohannaL@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 14:52:30","15/06/2023 14:52:30","Active"
"JohannaL@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 14:52:30","15/06/2023 14:52:30","Active"
"JohannaL@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 14:38:33","24/06/2023 14:38:33","Active"
"JoniS@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","18/06/2023 07:01:08","18/06/2023 07:01:08","Active"
"JoniS@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","18/06/2023 07:01:08","18/06/2023 07:01:08","Active"
"JoniS@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 14:48:21","24/06/2023 14:48:21","Active"
"LeeG@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 11:28:36","15/06/2023 11:28:36","Active"
"LeeG@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 11:28:36","15/06/2023 11:28:36","Active"
"LeeG@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 12:20:42","24/06/2023 12:20:42","Active"
"LidiaH@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 11:14:35","15/06/2023 11:14:35","Active"
"LidiaH@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 11:14:35","15/06/2023 11:14:35","Active"
"LidiaH@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 19:26:28","24/06/2023 19:26:28","Active"
"LynneR@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","17/06/2023 00:08:48","17/06/2023 00:08:48","Active"
"LynneR@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","17/06/2023 00:08:48","17/06/2023 00:08:48","Active"
"MeganB@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 11:45:57","15/06/2023 11:45:57","Active"
"MeganB@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 11:45:57","15/06/2023 11:45:57","Active"
"MeganB@M365x87949236.OnMicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 17:18:04","24/06/2023 17:18:04","Active"
"MiriamG@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 14:42:11","15/06/2023 14:42:11","Active"
"MiriamG@M365x87949236.OnMicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 14:42:11","15/06/2023 14:42:11","Active"
"admin@M365x87949236.onmicrosoft.com","PII Retention Policy","OrganizationRetention","15/06/2023 10:24:39","15/06/2023 10:24:39","Active"
"admin@M365x87949236.onmicrosoft.com","Medical Records Retention Policy","OrganizationRetention","15/06/2023 10:24:39","15/06/2023 10:24:39","Active"
"admin@M365x87949236.onmicrosoft.com","Forever Users","OrganizationRetention","24/06/2023 17:39:20","24/06/2023 17:39:20","Active"
"NestorW@M365x87949236.OnMicrosoft.com","PII Retention Policy","OrganizationRetention","18/06/2023 09:56:17","18/06/2023 09:56:17","Active"
